Product,Product Id,Question,Answer
Toys_and_Games,B000FCURJC,What are the dimensions of the puzzle space?,"THE DIMENSIONS FOR THE PUZZLE SPACE ARE 32"" X 21.75"""
Toys_and_Games,B000FCURJC,Is this actually a rigid board or more of a floppy mat?,It's actually several rigid boards. You are able to arrange pieces in the middle and on two side pieces and then pick up those side pieces to place them atop the middle area before folding the wings in. It's really very cool.
Toys_and_Games,B000FCURJC,will this mat hold 1000 piece puzzle?,"Yes , it holds puzzles up to 1000 pieces ."
Toys_and_Games,B000FCURJC,will it hold a 24 x 30 inch puzzle?,"May be a bit too small, according to the dimensions. Go with the 1500 size to be safe."
Toys_and_Games,B000FCURJC,how wide is each Side piece?,"Each side piece is 16"" wide and each insert (there are two) is 15-1/4 wide.  Hope this helps!"
Toys_and_Games,B000FCURJC,What size is the closed unit?,Closed is almost the same size as the puzzle workspace.  32.25 x 22
Toys_and_Games,B000FCURJC,"So, if you have the center area for putting the puzzle together in, where do the pieces go that you haven't used yet when you close it up?",the 2 pieces fit on top of the puzzle when you close it up.
Toys_and_Games,B000FCURJC,Looking to purchase for an elderly person.  Can this be used in your lap while seated in a chair or sofa?  What is the weight?,Its too big to use on your lap. Definitely needs a table.
Toys_and_Games,B000FKCYAO,What is height of stroller and would the height be ok for a 2 year old?,They can most likely see over the top of stroller.   A 25th percentile in height child is able to see over and use it just fine.
Toys_and_Games,B000FKCYAO,"Is the fastener on the safety straps similar to the fastener on a child's stroller, high chair, etc.?",Yes it just clips together and you squeeze the sides to pull it apart.
Toys_and_Games,B000FKCYAO,Can a 20 inch doll fit nicely in the stroller,"Yes,it should."
Toys_and_Games,B000FKCYAO,Plastic or rubber wheels?,It seems to be a hard foam material.
Toys_and_Games,B000FKCYAO,Would this stroller be okay for a one year old? She is about 31 inches tall and has been walking for 3 months. Is she too young for this stroller?,"Yes, it is quite tall more for 3+ age"
Toys_and_Games,B000FKCYAO,Could the stroller fit two bitty babies?,"Agreed with the others - two of them could fit, but they would probably fall out pretty easily."
Toys_and_Games,B000FKCYAO,Is the hood removable or able to fold up so the child can see the doll while pushing the stroller?,Yes you can fold it up
Toys_and_Games,B000FKCYAO,Is it easy for a toddler to recline/straighten the seat independently?,"Yes, it just clicks up and down by pushing/pulling it, nothing too complicated."
Toys_and_Games,B001DNVD90,Dose he come with a birth certificit,"Yes a birth certificate is given which you can fill out. You can provide date, name, weight,and height"
Toys_and_Games,B001DNVD90,does the baby doll come as it looks in the photo? the clouthes and put together?,"yes it already put together. as for the photos, photos never look the same as the real doll."
